Date,"Monday, February 13, 2023"
,
Trail,3
Seconds - s,30
Starting Temp - C,182.5 +- 0.2
Ending Temp - C,
Retarding Voltage - V,1.5025 +- 0.0005
Result,Success
,
time (s),V2 Potential
8.32,1.386081
8.34,1.390965
8.36,1.390965
8.38,1.395849
8.4,1.395849
8.42,1.400733
8.44,1.405617
8.46,1.410501
8.48,1.415385
8.5,1.415385
8.52,1.415385
8.54,1.420269
8.56,1.420269
8.58,1.425153
8.6,1.430037
8.62,1.439805
8.64,1.439805
8.66,1.449573
8.68,1.449573
8.7,1.449573
8.72,1.449573
8.74,1.459341
8.76,1.454457
8.78,1.464225
8.8,1.469109
8.82,1.469109
8.84,1.469109
8.86,1.473993
8.88,1.478877
8.9,1.483761
8.92,1.488645
8.94,1.488645
8.96,1.493529
8.98,1.498413
9,1.503297
9.02,1.498413
9.04,1.503297
9.06,1.508181
9.08,1.508181
9.1,1.513065
9.12,1.513065
9.14,1.517949
9.16,1.522833
9.18,1.527717
9.2,1.532601
9.22,1.532601
9.24,1.532601
9.26,1.537485
9.28,1.542369
9.3,1.542369
9.32,1.547253
9.34,1.557021
9.36,1.557021
9.38,1.561905
9.4,1.557021
9.42,1.566789
9.44,1.571673
9.46,1.576557
9.48,1.576557
9.5,1.576557
9.52,1.581441
9.54,1.576557
9.56,1.586325
9.58,1.591209
9.6,1.596093
9.62,1.600977
9.64,1.600977
9.66,1.605861
9.68,1.610745
9.7,1.610745
9.72,1.620513
9.74,1.620513
9.76,1.625397
9.78,1.620513
9.8,1.625397
9.82,1.630281
9.84,1.630281
9.86,1.640049
9.88,1.640049
9.9,1.640049
9.92,1.644933
9.94,1.649817
9.96,1.654701
9.98,1.659585
10,1.659585
10.02,1.659585
10.04,1.664469
10.06,1.664469
10.08,1.669353
10.1,1.674237
10.12,1.674237
10.14,1.679121
10.16,1.679121
10.18,1.688889
10.2,1.688889
10.22,1.698657
10.24,1.698657
10.26,1.698657
10.28,1.703541
10.3,1.708425
10.32,1.708425
10.34,1.713309
10.36,1.713309
10.38,1.718193
10.4,1.718193
10.42,1.723077
10.44,1.732845
10.46,1.737729
10.48,1.737729
10.5,1.737729
10.52,1.742613
10.54,1.747497
10.56,1.752381
10.58,1.752381
10.6,1.752381
10.62,1.757265
10.64,1.757265
10.66,1.767033
10.68,1.767033
10.7,1.767033
10.72,1.771917
10.74,1.776801
10.76,1.781685
10.78,1.781685
10.8,1.786569
10.82,1.791453
10.84,1.786569
10.86,1.791453
10.88,1.796337
10.9,1.801221
10.92,1.806105
10.94,1.806105
10.96,1.815873
10.98,1.815873
11,1.815873
11.02,1.815873
11.04,1.825641
11.06,1.830525
11.08,1.830525
11.1,1.830525
11.12,1.835409
11.14,1.835409
11.16,1.845177
11.18,1.845177
11.2,1.850061
11.22,1.850061
