time (s),V1 Potential 3,potential 2
5.64,-1.767028368,-0.004884362
5.66,-1.767028368,-0.004884362
5.68,-0.6152628,-0.004884362
5.7,-0.039380017,-3.58E-07
5.72,-0.6152628,-3.58E-07
5.74,-2.342911152,-3.58E-07
5.76,-1.767028368,-0.004884362
5.78,-0.039380017,-0.004884362
5.8,-0.039380017,-0.004884362
5.82,-0.6152628,-3.58E-07
5.84,-1.767028368,-0.004884362
5.86,-2.342911152,-0.004884362
5.88,-0.6152628,-0.004884362
5.9,0.536502767,-0.004884362
5.92,-1.191145584,-0.004884362
5.94,-2.918793936,-3.58E-07
5.96,-2.918793936,-3.58E-07
5.98,-0.039380017,-0.004884362
6,2.264151119,-0.004884362
6.02,-0.039380017,-0.004884362
6.04,-3.49467672,-3.58E-07
6.06,-3.49467672,-0.004884362
6.08,0.536502767,-0.004884362
6.1,1.688268335,-0.004884362
6.12,-0.039380017,-0.004884362
6.14,-3.49467672,-0.004884362
6.16,-4.070559504,-0.004884362
6.18,-0.039380017,-0.004884362
6.2,2.264151119,-0.004884362
6.22,-0.6152628,-0.004884362
6.24,-3.49467672,-0.004884362
6.26,-2.918793936,-0.004884362
6.28,-0.6152628,-0.004884362
6.3,2.264151119,-0.004884362
6.32,-0.039380017,-0.004884362
6.34,-2.342911152,-0.004884362
6.36,-2.342911152,-0.004884362
6.38,-0.6152628,-0.004884362
6.4,-0.039380017,-3.58E-07
6.42,-1.191145584,-0.004884362
6.44,-1.767028368,-0.004884362
6.46,-2.342911152,-3.58E-07
6.48,-1.191145584,-3.58E-07
6.5,0.536502767,-3.58E-07
6.52,-0.6152628,-0.004884362
6.54,-1.767028368,-0.004884362
6.56,-1.767028368,-0.004884362
6.58,-0.6152628,-0.004884362
6.6,-0.039380017,-0.004884362
6.62,-0.039380017,-3.58E-07
6.64,-2.342911152,-0.004884362
6.66,-2.342911152,-0.004884362
6.68,-0.6152628,-0.004884362
6.7,-0.039380017,-0.004884362
6.72,-1.191145584,-0.004884362
6.74,-2.342911152,-0.004884362
6.76,-3.49467672,-3.58E-07
6.78,-0.6152628,-0.004884362
6.8,2.264151119,-0.004884362
6.82,0.536502767,-0.004884362
6.84,-3.49467672,-0.004884362
6.86,-3.49467672,-0.004884362
6.88,-0.039380017,-0.004884362
6.9,1.688268335,-0.004884362
6.92,-0.039380017,-0.009768367
6.94,-2.918793936,-0.009768367
6.96,-4.070559504,-0.004884362
6.98,-0.039380017,-0.004884362
7,2.264151119,-0.004884362
7.02,-0.039380017,-3.58E-07
7.04,-2.342911152,-3.58E-07
7.06,-3.49467672,-0.004884362
7.08,-0.6152628,-0.004884362
7.1,2.264151119,-3.58E-07
7.12,0.536502767,-0.004884362
7.14,-2.342911152,-0.004884362
7.16,-2.342911152,-0.004884362
7.18,-0.6152628,-0.004884362
7.2,-0.6152628,-0.004884362
7.22,-0.6152628,-0.004884362
7.24,-1.191145584,-0.004884362
7.26,-2.342911152,-0.004884362
7.28,-0.6152628,-0.004884362
7.3,0.536502767,-3.58E-07
7.32,-1.191145584,-0.004884362
7.34,-1.191145584,-0.009768367
7.36,-1.767028368,-3.58E-07
7.38,-1.191145584,-0.004884362
7.4,-0.039380017,-0.004884362
7.42,-0.039380017,-0.004884362
7.44,-1.767028368,-0.004884362
7.46,-2.342911152,-0.004884362
7.48,-0.6152628,-0.004884362
7.5,-0.039380017,-3.58E-07
7.52,-0.039380017,-3.58E-07
7.54,-1.767028368,-3.58E-07
7.56,-3.49467672,-0.004884362
7.58,-0.039380017,-0.004884362
7.6,2.840033903,-0.004884362
7.62,-0.039380017,-0.004884362
7.64,-2.918793936,-0.004884362
7.66,-3.49467672,-0.004884362
7.68,-1.191145584,-0.004884362
7.7,1.688268335,-0.004884362
7.72,1.112385551,-0.004884362
7.74,-3.49467672,-0.004884362
7.76,-4.070559504,-0.009768367
7.78,-0.039380017,-3.58E-07
7.8,1.688268335,-3.58E-07
7.82,-0.039380017,-0.004884362
7.84,-2.342911152,-0.004884362
7.86,-4.070559504,-3.58E-07
7.88,-0.6152628,-0.004884362
7.9,2.264151119,-0.004884362
7.92,-0.039380017,-0.004884362
7.94,-1.767028368,-3.58E-07
7.96,-2.342911152,-0.004884362
7.98,-1.767028368,-0.004884362
8,-0.039380017,-0.004884362
8.02,-0.039380017,-3.58E-07
8.04,-1.767028368,-3.58E-07
8.06,-2.342911152,-0.004884362
8.08,-0.6152628,-3.58E-07
8.1,-0.039380017,-0.004884362
8.12,-0.6152628,-0.004884362
8.14,-1.191145584,-3.58E-07
8.16,-2.918793936,-3.58E-07
8.18,-1.767028368,-0.004884362
8.2,0.536502767,-0.004884362
8.22,-0.6152628,-3.58E-07
8.24,-1.767028368,-0.004884362
8.26,-2.342911152,-0.004884362
8.28,-1.191145584,-3.58E-07
8.3,-0.039380017,-3.58E-07
8.32,-0.039380017,-0.004884362
8.34,-1.767028368,-3.58E-07
8.36,-4.070559504,-0.004884362
8.38,-0.6152628,-0.004884362
8.4,2.264151119,-3.58E-07
8.42,0.536502767,-0.004884362
8.44,-2.342911152,-0.004884362
8.46,-4.070559504,-0.004884362
8.48,-1.191145584,-0.004884362
8.5,2.264151119,-0.004884362
8.52,0.536502767,-0.004884362
8.54,-2.918793936,-0.004884362
8.56,-3.49467672,-3.58E-07
8.58,-1.191145584,-0.004884362
8.6,1.688268335,-0.004884362
8.62,1.112385551,-0.004884362
8.64,-2.342911152,-0.004884362
8.66,-4.070559504,-0.004884362
8.68,-1.191145584,-0.004884362
8.7,1.688268335,-0.004884362
8.72,0.536502767,-0.004884362
8.74,-1.767028368,-0.004884362
8.76,-2.342911152,-0.004884362
8.78,-1.767028368,-0.004884362
8.8,0.536502767,-0.004884362
8.82,-0.039380017,-0.004884362
8.84,-1.767028368,-0.004884362
8.86,-1.767028368,0.004883647
8.88,-1.191145584,-0.004884362
8.9,-0.039380017,-3.58E-07
8.92,-0.039380017,-3.58E-07
8.94,-1.767028368,-0.004884362
8.96,-2.918793936,-0.004884362
8.98,-1.191145584,-0.004884362
9,-0.039380017,-0.004884362
9.02,-0.6152628,-0.004884362
9.04,-1.191145584,-0.004884362
9.06,-1.767028368,-0.004884362
9.08,-1.191145584,-3.58E-07
9.1,0.536502767,-0.004884362
9.12,-0.039380017,-0.004884362
9.14,-1.191145584,-3.58E-07
9.16,-2.342911152,-0.004884362
9.18,-1.191145584,-0.004884362
9.2,1.688268335,-0.004884362
9.22,1.112385551,-0.004884362
9.24,-1.767028368,-0.009768367
9.26,-4.070559504,-0.004884362
9.28,-1.191145584,-0.004884362
9.3,2.264151119,-0.009768367
9.32,1.112385551,-3.58E-07
9.34,-1.767028368,-0.004884362
9.36,-3.49467672,-0.004884362
9.38,-1.767028368,-0.004884362
9.4,2.264151119,-0.004884362
9.42,1.688268335,-0.004884362
9.44,-2.342911152,-0.004884362
9.46,-4.070559504,-0.004884362
9.48,-1.191145584,-0.004884362
9.5,1.112385551,-0.004884362
9.52,1.112385551,-0.004884362
9.54,-1.191145584,-0.004884362
9.56,-2.918793936,-0.004884362
9.58,-1.191145584,-0.004884362
9.6,0.536502767,-0.004884362
9.62,-0.039380017,-3.58E-07
9.64,-1.191145584,-0.004884362
9.66,-1.767028368,-0.004884362
9.68,-1.191145584,-3.58E-07
9.7,-0.039380017,-0.004884362
9.72,-0.039380017,-0.004884362
9.74,-1.767028368,-0.004884362
9.76,-2.342911152,-0.004884362
9.78,-1.191145584,-0.004884362
9.8,-0.039380017,-0.004884362
9.82,-0.039380017,-0.004884362
9.84,-1.191145584,-3.58E-07
9.86,-2.342911152,-0.004884362
9.88,-1.191145584,-3.58E-07
9.9,0.536502767,-0.004884362
9.92,-0.6152628,-0.004884362
9.94,-1.191145584,-3.58E-07
9.96,-1.767028368,-3.58E-07
9.98,-2.342911152,-0.004884362
10,1.688268335,-0.004884362
10.02,2.264151119,-3.58E-07
10.04,-2.342911152,-0.004884362
10.06,-4.646442288,-0.004884362
10.08,-1.191145584,-3.58E-07
10.1,1.112385551,-0.004884362
10.12,1.112385551,-0.004884362
10.14,-1.191145584,-3.58E-07
10.16,-4.070559504,-3.58E-07
10.18,-1.767028368,-0.004884362
10.2,2.264151119,-3.58E-07
10.22,1.688268335,-3.58E-07
10.24,-2.342911152,-0.004884362
10.26,-3.49467672,-0.004884362
10.28,-1.767028368,-0.004884362
10.3,1.112385551,-0.004884362
10.32,1.688268335,-0.004884362
10.34,-1.767028368,-0.004884362
10.36,-2.342911152,0.004883647
10.38,-1.191145584,-0.004884362
10.4,-0.039380017,-0.004884362
